class_id,nu0_pair_policy,audit_status,archetype,action_id,one_way,move_shape,delta_atoms,Ea_rep_eV,Ea_std_eV,n_eff,flux_firings,n_selected,occupancy_s,n_instances,reachable,n_members,donor,donor_run,donor_idx,cum_flux_frac_pend
34cc670269ca1900bc88c3b343990fd533a24d14ea0806e998d8959d7ef74ce2,pending_research,pending,4972478298379930765,6698383570156747695,False,17684511,0,0.29259267840643594,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_8vac#2019,NiFe_Ni95_Fe05_T800_8vac,2019,0.999999999999982
34b30cfcd7b0d1b16da22af0e3228532f329663459dfe8a655414505cfa2e090,pending_research,pending,5330918672303922021,16426931232365969814,True,4132747904,0,1.073133115849487,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_8vac#2976,NiFe_Ni95_Fe05_T800_8vac,2976,0.999999999999982
aa3bb565d7aa90a9bb956d05ee5a3ea059199f3690f8352183196e543b6376bf,pending_research,pending,5330918672303922021,16426931232365969814,True,130574165,0,1.1192508682197513,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T600_8vac#746,NiFe_Ni95_Fe05_T600_8vac,746,0.999999999999982
aa2cbe623ea8550fd8ef65c4e6e101f204af8a9557ac86414b87ebadd2287ccd,pending_research,pending,5330918672303922021,16426931232365969814,True,1231408413,0,1.0118435839312951,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_10vac#1265,NiFe_Ni95_Fe05_T800_10vac,1265,0.999999999999982
aa1aeae1c4a634190bf7e9ee1900c6a9aa2b60d7a7aa218afa8317f665a51636,pending_research,pending,5330918672303922021,16426931232365969814,True,1231408413,0,1.0045588330931423,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T700_9vac#227,NiFe_Ni95_Fe05_T700_9vac,227,0.999999999999982
aa3f8ada3f87c02d78e6e18768c8f1b23a808d56c4a10d13b3ff48a78869ab3f,pending_research,pending,4972478298379930765,6698383570156747695,False,2969462515,0,0.7757883267113356,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_6vac#555,NiFe_Ni95_Fe05_T800_6vac,555,0.999999999999982
a92b2253d72e45011a176cb8cfb81421703dd040012bb54fa4ade7d11377faac,pending_research,pending,4972478298379930765,6698383570156747695,False,1466825020,0,0.8090762522633669,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_9vac#1295,NiFe_Ni95_Fe05_T800_9vac,1295,0.999999999999982
a920b117056a2cd39bc7a67a1abc7e28d3951fbd5546c09f90907e5b40748f7b,pending_research,pending,5330918672303922021,16426931232365969814,True,1231408413,0,1.120030448621037,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_1vac#819,NiFe_Ni95_Fe05_T800_1vac,819,0.999999999999982
a919b8de854497511c7b6b2bbf924c1461e80d0c0ca1f26866ff95c53042327a,pending_research,pending,8118835280748760697,9534017115911423550,False,3942479171,0,0.11066951690827416,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_8vac#2351,NiFe_Ni95_Fe05_T800_8vac,2351,0.999999999999982
a91631bd708b4af96de661d615686e7dc990095f6f7b4dfc95a1edfb629dea0b,pending_research,pending,5330918672303922021,16426931232365969814,True,1231408413,0,1.0741653164104719,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T500_8vac#385,NiFe_Ni95_Fe05_T500_8vac,385,0.999999999999982
a915e02af5135be623cd4d3d0201f0cbadb5dc58d634ea4825893c05dbfc9a3c,pending_research,pending,5330918672303922021,16426931232365969814,True,130574165,0,1.019804595338428,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_6vac#1535,NiFe_Ni95_Fe05_T800_6vac,1535,0.999999999999982
a904e029a24fb5df38c1b754a2363cf1f3d52d89e45f716ed70711aa7b9c750a,pending_research,pending,5330918672303922021,16426931232365969814,True,1231408413,0,1.0192365153078065,,2.0,0.0,0.0,0.0,0.0,False,2,NiFe_Ni95_Fe05_T600_9vac#829,NiFe_Ni95_Fe05_T600_9vac,829,0.999999999999982
a90376ce0bbae1959904c0b2da6399fa964192e3158ce0c46c9b213b32e01948,pending_research,pending,4972478298379930765,6698383570156747695,False,1466825020,0,0.7860382268127066,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_6vac#537,NiFe_Ni95_Fe05_T800_6vac,537,0.999999999999982
a8f35b311fad29042c087fad1782107637f780dfc319ed7a12179b50c977d01d,pending_research,pending,4972478298379930765,6698383570156747695,False,3031796809,0,0.6827625029018237,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T700_10vac#1244,NiFe_Ni95_Fe05_T700_10vac,1244,0.999999999999982
a8eefa3cf7318f9ea0e8b9bf685eaf6c75f1d44cb2c00dc61ee6eed7e15492ec,pending_research,pending,5330918672303922021,16426931232365969814,True,2581556589,0,1.0169400567338016,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T700_10vac#534,NiFe_Ni95_Fe05_T700_10vac,534,0.999999999999982
