class_id,leg_rank,selected,stratum,arch_name,fe_role,flux_firings,Ea_rep_eV,Ea_std_eV,n_members,tok_kinds,n_tok,n_disp_gt1A,mover_rank,mover_margin_A,dra_stored_A,pred_search_run,pred_search_idx,pred_Ea_member_eV,prev_status,pct_pending_flux
48235014ed7599ff69aa7bb2aac015ff34211d5242056e80a65852dc3197a433,90,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,16.452172999186843,0.8466096268139154,,1,HOLLOW_FCC,1,1,0,2.502891518265988,1.5155032691953143,NiFe_Ni95_Fe05_T600_9vac,736,0.8466096268139154,,0.15843366483381943
a4691281e662785b184b3beb4211165a0a3458e5c1e231b70d17685957e04298,91,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,16.303531247764564,0.6589362478553086,,1,OTHER,1,1,0,2.484657758641884,1.2753348573237182,NiFe_Ni95_Fe05_T700_1vac,344,0.6589362478553085,,0.1570022516444302
912c5f602b975b26505fe28f24672fb0208604468c18ac1fe1e581aa0e92ef9f,92,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,16.266427742848922,0.643098815448866,,1,OTHER,1,1,0,2.472939304777949,1.2833138345521233,NiFe_Ni95_Fe05_T800_7vac,1180,0.6430988154488659,,0.15664494660866046
52ce824fa1617d98c5469059ac84cf7d5ab79a9aa22b843b005ef0bf3cb4c89e,93,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,16.258552395800987,0.6542667608928243,,1,OTHER,1,1,0,2.4657292710782484,1.279189611775732,NiFe_Ni95_Fe05_T800_7vac,1217,0.6542667608928241,,0.1565691073809363
87a154445d9dec83d92a41b605380fb2e916705e81d2608e9fb4cd925b2239c5,94,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,15.84358234983603,0.6476680991763716,,1,OTHER,1,1,0,2.4764318807684145,1.2815386613932778,NiFe_Ni95_Fe05_T800_8vac,575,0.6476680991763715,,0.15257296503659457
494bfd39f9ccb40b76a5d3c7489ee458355aaade2025722a60fc2f11250f9f5c,95,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,15.777795686988124,0.8500940262547375,,1,HOLLOW_FCC,1,1,0,2.5032999458833114,1.496607737376723,NiFe_Ni95_Fe05_T800_6vac,314,0.8500940262547374,,0.15193944251694347
443f3244219d1a2c9ea7d0f8512c96f86c7741d3e7aed6541b345604ded65d09,96,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,14.851213756594454,0.6590286934006144,,1,OTHER,1,1,0,2.485315749922625,1.2865713676120258,NiFe_Ni95_Fe05_T500_7vac,225,0.6590286934006144,,0.14301650139492147
06be1635656adaec9bcf5bfa4ba06110638bce382e412bd0e5c5f3f08e633b7e,97,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,14.71625390942726,0.6503750450656299,,1,OTHER,1,1,0,2.481695974592588,1.272490166854348,NiFe_Ni95_Fe05_T700_5vac,370,0.6503750450656298,,0.14171684431052492
3c667dd6c2f95b14e6c0d1463a6d1429e4f6fca6cb48bd5bc9124c625d644501,98,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,14.606006329794331,0.6575479343828193,,1,OTHER,1,1,0,2.483482735253142,1.2661169542056656,NiFe_Ni95_Fe05_T700_2vac,290,0.6575479343828192,,0.14065516521918747
4e30df3846b24dfc7a49d8e3309f8e27514ca8357c2fcb0475a889b77fec725c,99,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,14.599336960178906,0.8080022890104135,0.02,5,HOLLOW_FCC,1,1,0,2.486843178178567,1.4474235009599417,NiFe_Ni95_Fe05_T300_8vac,64,0.8305073462815926,,0.14059093949834467
c301dd3d5a409530bdfb8d5efc5dbfaceef86b34ce88325597cce60d4e8b211a,100,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,14.569167914578673,0.649572121041274,,1,OTHER,1,1,0,2.472415504569699,1.2485945705848769,NiFe_Ni95_Fe05_T600_8vac,756,0.6495721210412739,,0.14030041298496435
b567430063a1082907c010253ffba0fdd103704cc54167465e15098079f8b572,101,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,14.441993091306887,0.6497327528654314,,2,OTHER,1,1,0,2.477887788448954,1.2781800253428899,NiFe_Ni95_Fe05_T600_4vac,662,0.647889396203027,,0.13907572532051188
0042da7199ff9951e34eafeb9c7a62212331d73ee161dea94c8aa422bc34ffa2,102,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,14.37057672594158,0.5753059319023562,,2,HOLLOW_FCC,1,1,0,2.4799392210013007,1.2908837536811972,NiFe_Ni95_Fe05_T800_5vac,313,0.6619020536554672,,0.13838798902607247
